correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test
0.4,8,400,0.001,[12],0.02936557005159557,0.0034961914643645287
0.4,10,400,0.001,[2],0.1164231151342392,0.015559213235974312
0.4,10,400,0.001,"[2, 2, 2]",0.15999702736735344,0.020822910591959953
0.4,10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2060505710542202,0.0520661361515522
0.4,10,400,0.001,[6],0.03435667004669085,0.007346400059759617
0.4,10,400,0.001,[12],0.09732975251972675,0.006915117148309946
0.4,12,400,0.001,[2],0.14157059416174889,0.010780876502394676
0.4,12,400,0.001,"[2, 2, 2]",0.12358651589602232,0.018843745812773705
0.4,12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.22019422240555286,0.012886258773505688
0.4,12,400,0.001,[6],0.046814439818263054,0.007664064411073923
0.4,12,400,0.001,[12],0.03483436259557493,0.0051742359064519405
0.4,14,400,0.001,[2],0.12001307494938374,0.012112357653677464
0.4,14,400,0.001,"[2, 2, 2]",0.15138491429388523,0.02472766302525997
0.4,14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.166421789675951,0.018373744562268257
0.4,14,400,0.001,[6],0.03791448031552136,0.007767471484839916
0.4,14,400,0.001,[12],0.028216324979439378,0.003480588085949421
0.4,16,400,0.001,[2],0.09554946050047874,0.016614645719528198
0.4,16,400,0.001,"[2, 2, 2]",0.16586876660585403,0.026364272460341454
0.4,16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.19099698960781097,0.006728752516210079
0.4,16,400,0.001,[6],0.04836939787492156,0.005252765491604805
0.4,16,400,0.001,[12],0.03196261264383793,0.0027092485688626766
0.5,2,400,0.001,[2],0.1721456665545702,0.01563754305243492
0.5,2,400,0.001,"[2, 2, 2]",0.14554597064852715,0.015717418864369392
0.5,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18134566769003868,0.016047779470682144
0.5,2,400,0.001,[6],0.038416117895394564,0.007166080176830292
0.5,2,400,0.001,[12],0.038411603309214115,0.0036741355434060097
0.5,4,400,0.001,[2],0.08375750668346882,0.015345553867518902
0.5,4,400,0.001,"[2, 2, 2]",0.13220980251207948,0.02145165391266346
0.5,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.28074410930275917,0.014839827083051205
0.5,4,400,0.001,[6],0.030660794815048575,0.004915684927254915
0.5,4,400,0.001,[12],0.059052796103060246,0.005683439783751965
0.5,6,400,0.001,[2],0.06966186547651887,0.019509613513946533
0.5,6,400,0.001,"[2, 2, 2]",0.1610278431326151,0.027225244790315628
0.5,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.19033302925527096,0.0027126616332679987
0.5,6,400,0.001,[6],0.03864826215431094,0.006604915019124746
0.5,6,400,0.001,[12],0.028331813402473927,0.005084601230919361
0.5,8,400,0.001,[2],0.09239930100739002,0.012519296258687973
0.5,8,400,0.001,"[2, 2, 2]",0.12556374818086624,0.02740955352783203
0.5,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18587145674973726,0.004144288599491119
0.5,8,400,0.001,[6],0.054670083336532116,0.011540832929313183
0.5,8,400,0.001,[12],0.05386767163872719,0.005991247482597828
0.5,10,400,0.001,[2],0.10555430874228477,0.015885282307863235
0.5,10,400,0.001,"[2, 2, 2]",0.15964226052165031,0.030106669291853905
0.5,10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1448777848854661,0.019149616360664368
0.5,10,400,0.001,[6],0.04722063709050417,0.008603689260780811
0.5,10,400,0.001,[12],0.029835157096385956,0.0038408341351896524
0.5,12,400,0.001,[2],0.0709140133112669,0.01867382414638996
0.5,12,400,0.001,"[2, 2, 2]",0.13830830715596676,0.0710848942399025
0.5,12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2119564563035965,0.010807843878865242
0.5,12,400,0.001,[6],0.03497272124513984,0.007184829097241163
0.5,12,400,0.001,[12],0.041248117107898,0.006643394008278847
0.5,14,400,0.001,[2],0.07786889746785164,0.010823827236890793
0.5,14,400,0.001,"[2, 2, 2]",0.09728476498275995,0.042664214968681335
0.5,14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.16782894916832447,0.016959358006715775
0.5,14,400,0.001,[6],0.03642613207921386,0.006094527430832386
0.5,14,400,0.001,[12],0.02657054935116321,0.004406512249261141
