ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
10,200,0.001,"[2, 2, 2, 2, 2, 2]",0.2803618684411049,0.004642851650714874,0.18816621601581573
10,200,0.001,[6],0.458896666765213,0.0031148416455835104,0.07530099153518677
10,200,0.001,[12],0.45778536796569824,0.0012433581287041306,0.047171033918857574
10,400,0.001,[2],0.1054738499224186,0.007754784543067217,0.12039440870285034
10,400,0.001,"[2, 2, 2]",0.29924503341317177,0.015854105353355408,0.17275413870811462
10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.22382842376828194,0.0030568880029022694,0.19044482707977295
10,400,0.001,[6],0.12282394152134657,0.004807305056601763,0.08721156418323517
10,400,0.001,[12],0.2570645995438099,0.0013332357630133629,0.0443439744412899
11,200,0.001,[2],0.3374871164560318,0.006192029919475317,0.12081076949834824
11,200,0.001,"[2, 2, 2]",0.3331652283668518,0.0075798057951033115,0.19943371415138245
11,200,0.001,"[2, 2, 2, 2, 2, 2]",0.2832131050527096,0.004219086840748787,0.21087494492530823
11,200,0.001,[6],0.361446987837553,0.0047285971231758595,0.06766974180936813
11,200,0.001,[12],0.2569315433502197,0.0016589105362072587,0.044424232095479965
11,400,0.001,[2],0.6143447756767273,0.005408042576164007,0.10908257216215134
11,400,0.001,"[2, 2, 2]",0.2513841949403286,0.006874921265989542,0.20158815383911133
11,400,0.001,"[2, 2, 2, 2, 2, 2]",0.6147231608629227,0.005138371139764786,0.2373327761888504
11,400,0.001,[6],0.13710404001176357,0.005151046440005302,0.06473740935325623
11,400,0.001,[12],0.07889014249667525,0.0010964320972561836,0.03883138671517372
12,200,0.001,[2],0.20615684241056442,0.007486380636692047,0.1408153772354126
12,200,0.001,"[2, 2, 2]",0.4102994501590729,0.009692956693470478,0.11681582778692245
12,200,0.001,"[2, 2, 2, 2, 2, 2]",0.22008274495601654,0.0031207709107548,0.2244451493024826
12,200,0.001,[6],0.8331605941057205,0.004375964868813753,0.09587021917104721
12,200,0.001,[12],0.135338282212615,0.001944687101058662,0.04475114867091179
12,400,0.001,[2],0.40325523167848587,0.006420722231268883,0.14787626266479492
12,400,0.001,"[2, 2, 2]",0.26067518070340157,0.01247327495366335,0.17503590881824493
12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.24608442187309265,0.004043783526867628,0.1913308948278427
12,400,0.001,[6],0.13165176566690207,0.002828914439305663,0.05474384129047394
