ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
7,200,0.001,"[2, 2, 2, 2, 2, 2]",0.2433905154466629,0.006586622446775436,0.21921062469482422
7,200,0.001,[6],0.06864339672029018,0.0025029771495610476,0.07384546846151352
7,200,0.001,[12],0.058095681481063366,0.002105792984366417,0.06301870197057724
7,400,0.001,[2],0.08073986181989312,0.006286703050136566,0.10028278827667236
7,400,0.001,"[2, 2, 2]",0.17956841923296452,0.010434223338961601,0.15403440594673157
7,400,0.001,"[2, 2, 2, 2, 2, 2]",0.19625463150441647,0.004214764107018709,0.1817537099123001
7,400,0.001,[6],0.05051479069516063,0.002605138812214136,0.05623144656419754
7,400,0.001,[12],0.03695205436088145,0.001042187330313027,0.03733889013528824
8,200,0.001,[2],0.17239249125123024,0.005960111040621996,0.1619245558977127
8,200,0.001,"[2, 2, 2]",0.1514873504638672,0.007614826317876577,0.154038205742836
8,200,0.001,"[2, 2, 2, 2, 2, 2]",0.1948826014995575,0.006186933722347021,0.18030424416065216
8,200,0.001,[6],0.06193566182628274,0.0035771706607192755,0.06897034496068954
8,200,0.001,[12],0.047422029078006744,0.0011093021603301167,0.048384472727775574
8,400,0.001,[2],0.10559215769171715,0.007747406605631113,0.1295100301504135
8,400,0.001,"[2, 2, 2]",0.19775051064789295,0.01010874006897211,0.158959299325943
8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18865991290658712,0.004453018773347139,0.16891320049762726
8,400,0.001,[6],0.05943110678344965,0.0018646062817424536,0.06020279601216316
8,400,0.001,[12],0.04369007237255573,0.0020861749071627855,0.04717038571834564
9,200,0.001,[2],0.11184657644480467,0.005791263189166784,0.11580720543861389
9,200,0.001,"[2, 2, 2]",0.18178272061049938,0.0068566096015274525,0.1641356348991394
9,200,0.001,"[2, 2, 2, 2, 2, 2]",0.2157641090452671,0.006534697022289038,0.197132408618927
9,200,0.001,[6],0.11283788457512856,0.006029709707945585,0.12442442029714584
9,200,0.001,[12],0.04540122300386429,0.0013134205946698785,0.04675924777984619
9,400,0.001,[2],0.11660419031977654,0.007474713493138552,0.12378178536891937
9,400,0.001,"[2, 2, 2]",0.20268688537180424,0.01612474024295807,0.1789504736661911
9,400,0.001,"[2, 2, 2, 2, 2, 2]",0.22608887404203415,0.015893680974841118,0.22380632162094116
9,400,0.001,[6],0.06043289415538311,0.005166237708181143,0.06923551112413406
9,400,0.001,[12],0.03987846756353974,0.0010753353126347065,0.040997546166181564
10,200,0.001,[2],0.0921753142029047,0.005577117670327425,0.10700460523366928
10,200,0.001,"[2, 2, 2]",0.18675040639936924,0.00781923346221447,0.17630288004875183
10,200,0.001,"[2, 2, 2, 2, 2, 2]",0.188847828656435,0.002774463966488838,0.17993788421154022
10,200,0.001,[6],0.07494739070534706,0.0018628319958224893,0.07999913394451141
10,200,0.001,[12],0.04345810366794467,0.0011257085716351867,0.045853715389966965
10,400,0.001,[2],0.11194241046905518,0.0074226465076208115,0.1191779375076294
10,400,0.001,"[2, 2, 2]",0.2027602680027485,0.01873505860567093,0.19606861472129822
10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2288227528333664,0.00638541579246521,0.20586033165454865
