ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
6,400,0.001,[6],0.07265585567802191,0.003551473841071129,0.07631754130125046
6,400,0.001,[12],0.03653874760493636,0.0013448308454826474,0.03768722340464592
7,200,0.001,[2],0.116887710057199,0.006453723181039095,0.12270695716142654
7,200,0.001,"[2, 2, 2]",0.14916816167533398,0.008610905148088932,0.15778854489326477
7,200,0.001,"[2, 2, 2, 2, 2, 2]",0.19832180067896843,0.0007749303476884961,0.19908525049686432
7,200,0.001,[6],0.09486198052763939,0.002595404861494899,0.09756920486688614
7,200,0.001,[12],0.04504556558094919,0.0010782761964946985,0.04600847139954567
7,400,0.001,[2],0.1717977523803711,0.009237770922482014,0.18117225170135498
7,400,0.001,"[2, 2, 2]",0.13827924616634846,0.012057917192578316,0.15096308290958405
7,400,0.001,"[2, 2, 2, 2, 2, 2]",0.19029870256781578,0.00996396690607071,0.20040850341320038
7,400,0.001,[6],0.05916617438197136,0.0014805772807449102,0.060749832540750504
7,400,0.001,[12],0.03684430569410324,0.0007266953471116722,0.037566449493169785
8,200,0.001,[2],0.16290361434221268,0.007366587873548269,0.17020997405052185
8,200,0.001,"[2, 2, 2]",0.2549762222915888,0.007172438316047192,0.2622811198234558
8,200,0.001,"[2, 2, 2, 2, 2, 2]",0.17938034608960152,0.006001332309097052,0.1856943517923355
8,200,0.001,[6],0.06583208497613668,0.003478351281955838,0.06935295462608337
8,200,0.001,[12],0.08178554335609078,0.0017356029711663723,0.08359118551015854
8,400,0.001,[2],0.17348738759756088,0.00719980476424098,0.180329829454422
8,400,0.001,"[2, 2, 2]",0.14586080983281136,0.05990032106637955,0.20645660161972046
8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.21561795845627785,0.02075996994972229,0.237160786986351
8,400,0.001,[6],0.05623060604557395,0.0029061418026685715,0.05893240496516228
8,400,0.001,[12],0.052903054282069206,0.0013535624602809548,0.054421316832304
9,200,0.001,[2],0.11835274659097195,0.005915554706007242,0.12396001815795898
9,200,0.001,"[2, 2, 2]",0.211933434009552,0.007370593957602978,0.21919924020767212
9,200,0.001,"[2, 2, 2, 2, 2, 2]",0.1717373989522457,0.00278731482103467,0.1741379350423813
9,200,0.001,[6],0.08115594275295734,0.0026839058846235275,0.08364340662956238
9,200,0.001,[12],0.06122633907943964,0.0015033888630568981,0.06273442506790161
9,400,0.001,[2],0.14437651447951794,0.008321168832480907,0.1532641053199768
9,400,0.001,"[2, 2, 2]",0.12807279406115413,0.02951132319867611,0.15686970949172974
9,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2110656537115574,0.007812156341969967,0.22016584873199463
9,400,0.001,[6],0.05348572344519198,0.0024034867528826,0.055636994540691376
9,400,0.001,[12],0.0676549575291574,0.0009367437451146543,0.06893068552017212
10,200,0.001,[2],0.13047050312161446,0.007717261090874672,0.13732823729515076
10,200,0.001,"[2, 2, 2]",0.1715630441904068,0.011662555858492851,0.18318778276443481
10,200,0.001,"[2, 2, 2, 2, 2, 2]",0.22188887745141983,0.0037396037951111794,0.22544324398040771
10,200,0.001,[6],0.0612989217042923,0.003415138693526387,0.06456553936004639
10,200,0.001,[12],0.08917236095294356,0.0011123213917016983,0.09036785364151001
10,400,0.001,[2],0.13895445875823498,0.007699959445744753,0.14663614332675934
10,400,0.001,"[2, 2, 2]",0.1752520203590393,0.009836929850280285,0.18491342663764954
10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2283366210758686,0.0015016552060842514,0.22982116043567657
10,400,0.001,[6],0.05344017338939011,0.0035337680019438267,0.056425172835588455
10,400,0.001,[12],0.042402892373502254,0.0012607352109625936,0.04358183965086937
11,200,0.001,[2],0.14638714119791985,0.007435005623847246,0.1544462889432907
11,200,0.001,"[2, 2, 2]",0.1601045336574316,0.011889059096574783,0.1722070276737213
11,200,0.001,"[2, 2, 2, 2, 2, 2]",0.20243436843156815,0.006711289752274752,0.20938648283481598
11,200,0.001,[6],0.08390586636960506,0.002816138556227088,0.08678614348173141
11,200,0.001,[12],0.04187142848968506,0.001564632635563612,0.04323695972561836
11,400,0.001,[2],0.09576931176707149,0.004313397686928511,0.09984225779771805
11,400,0.001,"[2, 2, 2]",0.18148567527532578,0.015307385474443436,0.1964804232120514
11,400,0.001,"[2, 2, 2, 2, 2, 2]",0.19066943880170584,5.801519364467822e-06,0.19067524373531342
11,400,0.001,[6],0.0972220404073596,0.004840540699660778,0.10163679718971252
11,400,0.001,[12],0.05966462614014745,0.0015624468214809895,0.06184396520256996
12,200,0.001,[2],0.12154867220669985,0.005225156433880329,0.1262669563293457
12,200,0.001,"[2, 2, 2]",0.21898993477225304,0.00870137196034193,0.22797472774982452
12,200,0.001,"[2, 2, 2, 2, 2, 2]",0.24067844823002815,0.006048910319805145,0.24704498052597046
12,200,0.001,[6],0.05667693796567619,0.0036861258558928967,0.059805989265441895
12,200,0.001,[12],0.048474122770130634,0.0013743187300860882,0.049750495702028275
12,400,0.001,[2],0.12901150062680244,0.007996814325451851,0.13657988607883453
12,400,0.001,"[2, 2, 2]",0.16694911196827888,0.017872216179966927,0.18460440635681152
12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1886020004749298,0.0025237188674509525,0.19091792404651642
12,400,0.001,[6],0.0582745629362762,0.004923664964735508,0.06274893879890442
12,400,0.001,[12],0.042363676242530346,0.0008281003101728857,0.04316125810146332
13,200,0.001,[2],0.12082329578697681,0.006811570376157761,0.12734995782375336
13,200,0.001,"[2, 2, 2]",0.14658825658261776,0.010315523482859135,0.15638993680477142
13,200,0.001,"[2, 2, 2, 2, 2, 2]",0.21333223208785057,0.00727724377065897,0.2212846428155899
13,200,0.001,[6],0.06520645413547754,0.003668240737169981,0.06869208812713623
13,200,0.001,[12],0.058919810224324465,0.0011860900558531284,0.060122933238744736
13,400,0.001,[2],0.1385221742093563,0.008318677544593811,0.146407350897789
13,400,0.001,"[2, 2, 2]",0.1675791461020708,0.011307664215564728,0.17828354239463806
13,400,0.001,"[2, 2, 2, 2, 2, 2]",0.1779356226325035,0.0023352832067757845,0.17998626828193665
13,400,0.001,[6],0.07041314337402582,0.0026805514935404062,0.07352066040039062
13,400,0.001,[12],0.0879053040407598,0.0016452963463962078,0.09077773988246918
14,200,0.001,[2],0.1489260196685791,0.00713562685996294,0.15552088618278503
14,200,0.001,"[2, 2, 2]",0.18118414841592312,0.010073298588395119,0.19204792380332947
14,200,0.001,"[2, 2, 2, 2, 2, 2]",0.21339968591928482,0.0018271683948114514,0.2151487022638321
14,200,0.001,[6],0.06738852430135012,0.004221931099891663,0.071649931371212
14,200,0.001,[12],0.04907690268009901,0.0011486472794786096,0.05030355975031853
14,400,0.001,[2],0.14167450554668903,0.007744601462036371,0.1509637087583542
14,400,0.001,"[2, 2, 2]",0.14757268875837326,0.010659988038241863,0.1591673195362091
14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.21206306293606758,0.003802958643063903,0.2160467803478241
14,400,0.001,[6],0.09945427626371384,0.002587051596492529,0.10209403932094574
14,400,0.001,[12],0.042407093569636345,0.0012621445348486304,0.04353615269064903
15,200,0.001,[2],0.12089075334370136,0.00698895612731576,0.12810172140598297
15,200,0.001,"[2, 2, 2]",0.1516337413340807,0.010647359304130077,0.16150382161140442
15,200,0.001,"[2, 2, 2, 2, 2, 2]",0.17129382118582726,0.007101166993379593,0.17789699137210846
15,200,0.001,[6],0.06156392442062497,0.002549647120758891,0.06389660388231277
15,200,0.001,[12],0.06485151685774326,0.0015280143124982715,0.06667809933423996
15,400,0.001,[2],0.14864924922585487,0.008174044080078602,0.1579427570104599
15,400,0.001,"[2, 2, 2]",0.19973089173436165,0.027824774384498596,0.22998307645320892
15,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20914988219738007,0.000796888954937458,0.2100284844636917
15,400,0.001,[6],0.059613047167658806,0.0020764279179275036,0.0618094764649868
15,400,0.001,[12],0.03956205630674958,0.001514319097623229,0.04095282033085823
16,200,0.001,[2],0.18917774967849255,0.007389809004962444,0.19716711342334747
16,200,0.001,"[2, 2, 2]",0.18063396029174328,0.020368941128253937,0.20161926746368408
16,200,0.001,"[2, 2, 2, 2, 2, 2]",0.22899149730801582,0.004401806276291609,0.23401980102062225
16,200,0.001,[6],0.09477447532117367,0.0030715749599039555,0.0981612503528595
16,200,0.001,[12],0.042777004186064005,0.0009815621888265014,0.04362959787249565
16,400,0.001,[2],0.1449771784245968,0.007264146581292152,0.15302520990371704
16,400,0.001,"[2, 2, 2]",0.14075004658661783,0.010207227431237698,0.14955179393291473
16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.303752176463604,0.004473138600587845,0.30910834670066833
16,400,0.001,[6],0.06293840426951647,0.0026038852520287037,0.06584370881319046
16,400,0.001,[12],0.03779849805869162,0.0023058766964823008,0.03982587903738022
50,400,0.001,[6],0.0573904630728066,0.003625299781560898,0.06051039323210716
50,400,0.001,[12],0.048768424428999424,0.0012834003427997231,0.050007376819849014
100,400,0.001,[6],0.055537735344842076,0.003791209775954485,0.05906343087553978
100,400,0.001,[12],0.03820087877102196,0.0014195580733940005,0.039525944739580154
150,400,0.001,[6],0.06890575587749481,0.003958649933338165,0.07330215722322464
150,400,0.001,[12],0.039198988350108266,0.0015398772666230798,0.040690962225198746
200,400,0.001,[6],0.05559419374912977,0.0034221189562231302,0.058860983699560165
200,400,0.001,[12],0.04254760034382343,0.0015757764922454953,0.044360604137182236
250,400,0.001,[6],0.05866083689033985,0.0035841967910528183,0.06199773773550987
250,400,0.001,[12],0.05960404314100742,0.0015903316671028733,0.06174128130078316
