ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
4,200,0.001,"[2, 2, 2, 2, 2, 2]",0.2343949805945158,0.0018654384184628725,0.2303221970796585
4,200,0.001,[6],0.34321270138025284,0.0043306960724294186,0.071186862885952
4,200,0.001,[12],0.5541212186217308,0.0018654171144589782,0.04717181995511055
4,400,0.001,[2],0.1253049522638321,0.00564888259395957,0.09858620166778564
4,400,0.001,"[2, 2, 2]",0.22433097660541534,0.007034752983599901,0.15364618599414825
4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.237269788980484,1.5590170505674905e-06,0.22943557798862457
4,400,0.001,[6],0.09806526033207774,0.002531537553295493,0.05438883602619171
4,400,0.001,[12],0.47170472517609596,0.0007704696618020535,0.04377930611371994
5,200,0.001,[2],0.23663371242582798,0.005992495454847813,0.10818099975585938
5,200,0.001,"[2, 2, 2]",0.2148198001086712,0.0043943277560174465,0.19425298273563385
5,200,0.001,"[2, 2, 2, 2, 2, 2]",0.16876458656042814,0.005905238911509514,0.16448386013507843
5,200,0.001,[6],0.14144975412636995,0.0023959390819072723,0.058363575488328934
5,200,0.001,[12],0.8334606811404228,0.0013938312185928226,0.05541171878576279
5,400,0.001,[2],0.21130294539034367,0.008617715910077095,0.11812486499547958
5,400,0.001,"[2, 2, 2]",0.2991764135658741,0.009209591895341873,0.15999825298786163
5,400,0.001,"[2, 2, 2, 2, 2, 2]",0.4038007780909538,1.2938546944951668e-07,0.21279779076576233
5,400,0.001,[6],0.6248284131288528,0.0024446032475680113,0.10232377052307129
5,400,0.001,[12],0.47907835990190506,0.0008545235032215714,0.04507548362016678
6,200,0.001,[2],0.32164210826158524,0.006355861201882362,0.16756445169448853
6,200,0.001,"[2, 2, 2]",0.2553531713783741,0.006592055782675743,0.18165069818496704
6,200,0.001,"[2, 2, 2, 2, 2, 2]",0.530527763068676,0.006914327386766672,0.1941993087530136
6,200,0.001,[6],0.3774625360965729,0.004313129000365734,0.08999600261449814
6,200,0.001,[12],0.30986756458878517,0.0008868901059031487,0.05085885897278786
6,400,0.001,[2],0.729532852768898,0.00715896300971508,0.1515045166015625
6,400,0.001,"[2, 2, 2]",0.30180827900767326,0.02528526447713375,0.19298839569091797
6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.4077003225684166,0.0037226181011646986,0.24876642227172852
6,400,0.001,[6],0.1933961808681488,0.0053380620665848255,0.0906604453921318
6,400,0.001,[12],0.1622110679745674,0.0013040938647463918,0.0478505901992321
7,200,0.001,[2],0.14502087142318487,0.005420265253633261,0.11647132784128189
7,200,0.001,"[2, 2, 2]",0.2586576119065285,0.007688252255320549,0.18672625720500946
7,200,0.001,"[2, 2, 2, 2, 2, 2]",0.3883374109864235,0.0036118915304541588,0.24331054091453552
7,200,0.001,[6],0.4153451547026634,0.0027117293793708086,0.0650712326169014
7,200,0.001,[12],0.07826539129018784,0.0010820853058248758,0.0864647626876831
7,400,0.001,[2],0.1856321506202221,0.008482052944600582,0.13251031935214996
7,400,0.001,"[2, 2, 2]",0.31070486456155777,0.012919439934194088,0.18646492063999176
7,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3578232228755951,0.0008158982382155955,0.18731749057769775
7,400,0.001,[6],0.05090967891737819,0.0027064234018325806,0.0600917674601078
7,400,0.001,[12],0.5541039407253265,0.0011803567176684737,0.04477396979928017
8,200,0.001,[2],0.19914809241890907,0.007473315577954054,0.15092487633228302
8,200,0.001,"[2, 2, 2]",0.26211652904748917,0.009946063160896301,0.23685254156589508
8,200,0.001,"[2, 2, 2, 2, 2, 2]",0.26118870824575424,0.014841926284134388,0.19414222240447998
8,200,0.001,[6],0.35166382044553757,0.0037949723191559315,0.10095033049583435
8,200,0.001,[12],0.5586012676358223,0.0012613575672730803,0.045672718435525894
8,400,0.001,[2],0.13916101306676865,0.006810653489083052,0.1172327846288681
8,400,0.001,"[2, 2, 2]",0.6121653467416763,0.009435072541236877,0.17050214111804962
8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.33745230734348297,0.007811574265360832,0.21027828752994537
8,400,0.001,[6],1.0398891940712929,0.0019405868370085955,0.0548982173204422
8,400,0.001,[12],0.5525917485356331,0.0014582723379135132,0.049756038933992386
9,200,0.001,[2],0.5544577389955521,0.005579724442213774,0.14632783830165863
9,200,0.001,"[2, 2, 2]",0.291478019207716,0.007002376019954681,0.1562609076499939
9,200,0.001,"[2, 2, 2, 2, 2, 2]",0.2542809620499611,0.004286743234843016,0.18966156244277954
9,200,0.001,[6],0.0769691951572895,0.0033211729023605585,0.06780590862035751
9,200,0.001,[12],0.3780914172530174,0.0009801342384889722,0.05443064868450165
