ensemble_size,epoch_num,learning_rate,average_loss_train_traditional,average_loss_test_traditional,average_loss_train_mlp,average_loss_test_mlp,average_individual_loss_train_traditional,average_individual_loss_test_traditional,diversity_coefficient_train_traditional,diversity_coefficient_test_traditional
8,250,0.0005,0.04906902361947756,0.0650384072214365,0.07292424314297162,0.05733518209308386,0.05137527734041214,0.06842520833015442,0.0023152732755988836,0.003829926485195756
8,250,0.001,0.04704358973182165,0.0643878523260355,0.08282554593796913,0.06999696139246225,0.04921991750597954,0.06779754161834717,0.002120677148923278,0.0034672364126890898
8,250,0.0015,0.04363674054352137,0.05833834549412131,0.05889442276496153,0.046360455453395844,0.04581928625702858,0.061629511415958405,0.0022017043083906174,0.0038072443567216396
8,250,0.002,0.04541734290810732,0.061181205324828625,0.06899867865901727,0.04882148373872042,0.047647491097450256,0.06523219496011734,0.002228762488812208,0.0041197300888597965
8,300,0.0005,0.05000077044734588,0.08143982384353876,0.08028868686121243,0.14475379046052694,0.05266605317592621,0.08435769379138947,0.0025961147621273994,0.0029166019521653652
8,300,0.001,0.04604535435254757,0.0702581275254488,0.0594058521091938,0.04609121603425592,0.04971850663423538,0.07417264580726624,0.003701901063323021,0.004294881597161293
8,300,0.0015,0.048692984076646656,0.059643582440912724,0.06930989686113137,0.05108861718326807,0.051605649292469025,0.0628110021352768,0.002831603866070509,0.0035814065486192703
8,300,0.002,0.04876337486964006,0.06445257924497128,0.06228779571560713,0.07928377948701382,0.05294318124651909,0.06885801255702972,0.0041977157816290855,0.005103930365294218
10,50,0.0005,0.09210843392289601,0.12871117796748877,0.1329772277520253,0.15518823638558388,0.09500554949045181,0.13188877701759338,0.002896004356443882,0.0033865601290017366
10,50,0.001,0.0759293081668707,0.11373657919466496,0.09768541501118587,0.17350350692868233,0.07861397415399551,0.11664412915706635,0.0026984575670212507,0.0030427768360823393
10,50,0.0015,0.06610233007142177,0.1607372323051095,0.07369042818362896,0.12133573368191719,0.06897405534982681,0.16451972723007202,0.002800688613206148,0.0036155669949948788
10,50,0.002,0.05632749371803724,0.0967080108821392,0.09267613692925526,0.133168151602149,0.05847736448049545,0.09996272623538971,0.002146054059267044,0.0033638435415923595
10,100,0.0005,0.07751684062756024,0.14617743901908398,0.09062451525376393,0.11065277922898531,0.08016211539506912,0.15047356486320496,0.00264648231677711,0.0036991522647440434
10,100,0.001,0.05669826111541344,0.08174787182360888,0.05599683007368675,0.10666961874812841,0.05983757972717285,0.08541731536388397,0.003147659357637167,0.0038892989978194237
10,100,0.0015,0.04946575786631841,0.0820387415587902,0.09567573838509046,0.14310533553361893,0.05244896560907364,0.08677879720926285,0.0029998391401022673,0.004633250180631876
10,100,0.002,0.04501095571770118,0.06101009529083967,0.09457043357766591,0.11395594477653503,0.046823590993881226,0.0634167343378067,0.0018279093783348799,0.0026601962745189667
10,150,0.0005,0.06486426881299569,0.09734527114778757,0.09637308063415381,0.08629560098052025,0.06819853186607361,0.1027902364730835,0.0033551626838743687,0.004963329527527094
10,150,0.001,0.04847124792062319,0.10745665803551674,0.08404365525795864,0.10621149465441704,0.05054868012666702,0.10991086810827255,0.00209606671705842,0.0028015843126922846
10,150,0.0015,0.056760796560690954,0.08696934394538403,0.06675479045281044,0.06463889474980533,0.06189665198326111,0.09449036419391632,0.005081105977296829,0.006975145544856787
10,150,0.002,0.04574268440214487,0.07487431727349758,0.0746168763591693,0.06887729093432426,0.04812818765640259,0.07906865328550339,0.0023818262852728367,0.003472808049991727
10,200,0.0005,0.060410548288088575,0.11408564355224371,0.07350478292657779,0.07703573815524578,0.06238921359181404,0.11658833175897598,0.0019612573087215424,0.0026301711332052946
10,200,0.001,0.047313773431457005,0.06825865525752306,0.10121878666373399,0.09565939009189606,0.04886958375573158,0.07081000506877899,0.0015674077440053225,0.0025605058763176203
10,200,0.0015,0.045288267043920666,0.05754930432885885,0.07256906450941013,0.08166964631527662,0.04732868820428848,0.0602855309844017,0.002009341726079583,0.0031183320097625256
10,200,0.002,0.046846890105650976,0.06974674575030804,0.06226777772490795,0.057940042577683926,0.04918231815099716,0.07330352813005447,0.002329548355191946,0.0033264446537941694
10,250,0.0005,0.05100158114845936,0.08063510525971651,0.10970761798895322,0.09665481536649168,0.0534728541970253,0.0839710533618927,0.0025021242909133434,0.0033914537634700537
10,250,0.001,0.050983901493824445,0.06145377131178975,0.08344163903250144,0.07019673008471727,0.055339962244033813,0.06625392287969589,0.004423140548169613,0.005501400679349899
10,250,0.0015,0.04317089012609078,0.05771854147315025,0.064933613802378,0.05724626360461116,0.04649408906698227,0.062404341995716095,0.0033366025891155005,0.005569746717810631
10,250,0.002,0.047143886295648724,0.07278958428651094,0.06375589221715927,0.05085525009781122,0.05020943284034729,0.0773671343922615,0.0030818439554423094,0.0034692639019340277
10,300,0.0005,0.049471333622932434,0.06424755393527448,0.06870412181776303,0.05821824260056019,0.05144193768501282,0.06648346781730652,0.0019620212260633707,0.002477141097187996
10,300,0.001,0.04415924531909136,0.08122965134680271,0.07107653096318245,0.054433020297437906,0.04637091979384422,0.08444064855575562,0.0022233331110328436,0.003144350601360202
10,300,0.0015,0.04282686630120644,0.06946029979735613,0.07393796226153007,0.0988482590764761,0.04443114250898361,0.0719003900885582,0.0015779529931023717,0.0020575588569045067
10,300,0.002,0.045276849172436275,0.05861640116199851,0.08278482865828735,0.06308700796216726,0.048783548176288605,0.06298454105854034,0.003547531785443425,0.005214780103415251
12,50,0.0005,0.0916293879541067,0.13124356977641582,0.09049193446452801,0.1328614391386509,0.09403529763221741,0.13434158265590668,0.0023927546571940184,0.0030826940201222897
12,50,0.001,0.07705981270051919,0.10754079557955265,0.10005854356747407,0.13847806304693222,0.0796908438205719,0.11088389158248901,0.002619638806208968,0.0033309664577245712
12,50,0.0015,0.059856741617505364,0.13613016996532679,0.07705185705652604,0.10235453210771084,0.062168825417757034,0.1396203190088272,0.0023380592465400696,0.0031784134916961193
12,50,0.002,0.05870231040395223,0.1266250442713499,0.08707980926220234,0.11569061316549778,0.060735058039426804,0.13006222248077393,0.0020368394907563925,0.0029119355604052544
12,100,0.0005,0.07359921502379271,0.10710530448704958,0.12798596574709967,0.14495799876749516,0.07700688391923904,0.11167830973863602,0.0033847347367554903,0.004593208897858858
12,100,0.001,0.05810105986893177,0.09574889577925205,0.10360730554048832,0.08750272914767265,0.06088881567120552,0.1002202257514,0.00281057832762599,0.004248081240803003
12,100,0.0015,0.050959594117907375,0.12407129816710949,0.0779347254966314,0.1318876575678587,0.053660765290260315,0.12747414410114288,0.00273831351660192,0.0035759329330176115
12,100,0.002,0.04837379260705067,0.11436134763062,0.06335026355317006,0.05521938225138001,0.05015823245048523,0.1175854429602623,0.001773247611708939,0.002596464240923524
12,150,0.0005,0.06404321726698142,0.14129645749926567,0.11644508575017636,0.1654436755925417,0.06691641360521317,0.14570832252502441,0.002875673584640026,0.004103027284145355
12,150,0.001,0.050285445096401066,0.07339045125991106,0.08961221690361316,0.08884948818013072,0.052688952535390854,0.07672305405139923,0.0024267269764095545,0.003718804568052292
12,150,0.0015,0.045813627541065216,0.06990659330040216,0.05317243288915891,0.04889605729840696,0.04816603288054466,0.07274311780929565,0.0023890486918389797,0.0030445700976997614
12,150,0.002,0.04489109034721668,0.06480893213301897,0.08246681151481774,0.12640119716525078,0.04723407328128815,0.06804394721984863,0.0023819266352802515,0.003540779696777463
12,200,0.0005,0.05798251468401689,0.08961551077663898,0.07954482476298626,0.09334405325353146,0.06100053712725639,0.09362473338842392,0.0030517647974193096,0.0043663750402629375
