correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,evolution_epoch,max_fitness,average_loss_train_neat_ncl,average_loss_test_neat_ncl,average_loss_train_static_ncl,average_loss_test_static_ncl,average_loss_train_traditional,average_loss_test_traditional,average_loss_train_mlp,average_loss_test_mlp,diversity_coefficient_train_neat_ncl,diversity_coefficient_test_neat_ncl,diversity_coefficient_train_static_ncl,diversity_coefficient_test_static_ncl,diversity_coefficient_train_traditional,diversity_coefficient_test_traditional
0.25,2,100,0.001,140,50.0,480.620854695638,445.0631866455078,8.2077427705129,11.016722202301025,8.056804895401001,9.836647510528564,10.12571382522583,10.965578556060791,0.5045566558837891,0.5045567154884338,0.5246453285217285,0.4034830927848816,0.7243821620941162,0.6131625771522522
0.25,2,100,0.001,170,10.0,505.88792419433594,480.68699645996094,8.55589493115743,12.03064250946045,8.388787269592285,10.385064601898193,9.345534483591715,9.111022710800171,0.6440786719322205,0.64407879114151,0.5062487721443176,0.47896692156791687,0.8031045794487,0.748711347579956
0.25,2,100,0.001,170,30.0,452.37388102213544,431.68516540527344,9.15346892674764,10.007003784179688,9.109058022499084,7.825047492980957,9.848412791887919,9.144233226776123,5.913378715515137,5.914044380187988,0.39294102787971497,0.32942211627960205,0.32902005314826965,0.3221554756164551
0.25,2,100,0.001,170,50.0,388.56333414713544,379.90924072265625,10.489203691482544,10.630483627319336,9.416913509368896,11.221591711044312,11.49030621846517,11.941595554351807,25.52958869934082,25.52958869934082,1.8245317935943604,1.9532103538513184,0.27595454454421997,0.24605320394039154
0.25,4,100,0.001,110,10.0,232.18392181396484,215.8466033935547,9.40274691581726,12.494770050048828,7.782213767369588,9.17960500717163,8.860527833302816,7.061238527297974,84.68144989013672,84.68144989013672,0.9090071320533752,0.7686099410057068,2.0280792713165283,2.032984495162964
0.25,4,100,0.001,110,30.0,213.89697774251303,197.87737274169922,8.003167788187662,8.361574172973633,9.247270981470743,9.841875553131104,8.16883913675944,8.066159963607788,176.3206787109375,176.32069396972656,3.0138392448425293,2.917792320251465,0.638924241065979,0.588655412197113
0.25,4,100,0.001,110,50.0,116.42013804117839,119.42459487915039,8.37465238571167,8.877941846847534,7.972148577372233,8.155632257461548,8.779653787612915,9.007557392120361,177.46400451660156,177.46397399902344,0.4313744306564331,0.32895025610923767,0.486959308385849,0.3700568974018097
0.25,4,100,0.001,140,10.0,422.35472615559894,399.1035461425781,8.234049638112387,8.104665994644165,8.000461419423422,7.138815760612488,9.109829823176065,9.176669120788574,10.476783752441406,10.47678279876709,0.8619534969329834,0.7093206644058228,0.5906992554664612,0.5682781338691711
0.25,4,100,0.001,140,30.0,255.79165649414062,230.140380859375,8.25630227724711,10.609274864196777,8.634558836619059,8.732057094573975,10.910777886708578,11.524701118469238,79.8113784790039,79.8113784790039,0.4230744242668152,0.3516809642314911,0.5058419704437256,0.47156453132629395
0.25,4,100,0.001,140,50.0,297.719970703125,257.57022857666016,6.963757435480754,9.939926624298096,6.986377636591594,10.260106086730957,10.204166968663534,10.359010696411133,35.91319274902344,35.91319274902344,0.9023033976554871,0.7315128445625305,1.3858596086502075,1.3486924171447754
