correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test
0.1,12,400,0.001,[12],0.44614527374505997,0.0024551162496209145
0.1,13,400,0.001,[2],0.18414069898426533,0.021986421197652817
0.1,13,400,0.001,"[2, 2, 2]",0.26869380101561546,0.008986667729914188
0.1,13,400,0.001,"[2, 2, 2, 2, 2, 2]",0.22605609893798828,0.008785121142864227
0.1,13,400,0.001,[6],0.3330417647957802,0.004338789731264114
0.1,13,400,0.001,[12],0.14510593190789223,0.001804211176931858
0.1,14,400,0.001,[2],0.26691239327192307,0.007757883053272963
0.1,14,400,0.001,"[2, 2, 2]",0.17277130670845509,0.012013196013867855
0.1,14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.30663296207785606,0.006164126098155975
0.1,14,400,0.001,[6],0.5067402794957161,0.004894762299954891
0.1,14,400,0.001,[12],0.3008013367652893,0.0016572154127061367
0.1,15,400,0.001,[2],0.319952379912138,0.008695672266185284
0.1,15,400,0.001,"[2, 2, 2]",0.4222310483455658,0.010990675538778305
0.1,15,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2874852642416954,0.002803156850859523
0.1,15,400,0.001,[6],0.4780436307191849,0.00380612351000309
0.1,15,400,0.001,[12],0.0974949263036251,0.00267808442004025
0.1,16,400,0.001,[2],0.14325408823788166,0.00727009167894721
0.1,16,400,0.001,"[2, 2, 2]",0.2621323689818382,0.010953745804727077
0.1,16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.43537697196006775,0.0076173702254891396
0.1,16,400,0.001,[6],0.6395217478275299,0.0030574691481888294
0.1,16,400,0.001,[12],0.22197597101330757,0.0021349983289837837
0.2,2,400,0.001,[2],0.19706865027546883,0.0035885837860405445
0.2,2,400,0.001,"[2, 2, 2]",0.49656718224287033,0.018050799146294594
0.2,2,400,0.001,"[2, 2, 2, 2, 2, 2]",0.18127531930804253,0.012909851036965847
0.2,2,400,0.001,[6],0.09182489849627018,0.0024816894438117743
0.2,2,400,0.001,[12],0.43042104691267014,0.0015605819644406438
0.2,3,400,0.001,[2],0.928671583533287,0.004531872924417257
0.2,3,400,0.001,"[2, 2, 2]",0.6397145837545395,0.005648237653076649
0.2,3,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20411182940006256,0.010786435566842556
0.2,3,400,0.001,[6],0.1388984490185976,0.0030035078525543213
0.2,3,400,0.001,[12],0.17429360188543797,0.001276839175261557
0.2,4,400,0.001,[2],0.3185363784432411,0.003210505237802863
0.2,4,400,0.001,"[2, 2, 2]",0.4169913977384567,0.010045831091701984
0.2,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.617598868906498,0.0074121421203017235
0.2,4,400,0.001,[6],0.2552482299506664,0.002178327878937125
0.2,4,400,0.001,[12],0.7246911078691483,0.0036800545640289783
0.2,5,400,0.001,[2],0.5360785499215126,0.0069937678053975105
0.2,5,400,0.001,"[2, 2, 2]",0.253612220287323,0.018953828141093254
0.2,5,400,0.001,"[2, 2, 2, 2, 2, 2]",0.20003248937427998,0.0038994571659713984
0.2,5,400,0.001,[6],0.1411693822592497,0.005910890176892281
0.2,5,400,0.001,[12],0.7363585978746414,0.0013885112712159753
0.2,6,400,0.001,[2],0.1097197849303484,0.006660349667072296
0.2,6,400,0.001,"[2, 2, 2]",0.1743115819990635,0.00863232184201479
0.2,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3012024983763695,0.006732528563588858
0.2,6,400,0.001,[6],0.3335491232573986,0.004429076332598925
0.2,6,400,0.001,[12],0.5433406680822372,0.0011068260064348578
0.2,7,400,0.001,[2],0.2742574140429497,0.0076666628010571
0.2,7,400,0.001,"[2, 2, 2]",0.17173131182789803,0.008159586228430271
0.2,7,400,0.001,"[2, 2, 2, 2, 2, 2]",0.33715852349996567,0.008998609147965908
0.2,7,400,0.001,[6],0.41330375522375107,0.0025393411051481962
0.2,7,400,0.001,[12],0.10513261705636978,0.0011312378337606788
0.2,8,400,0.001,[2],0.6810353845357895,0.00941451545804739
0.2,8,400,0.001,"[2, 2, 2]",0.24395441263914108,0.011561752296984196
